type d'implantation,moyenne_pollution,nombre_mesures
Urbaine,23.051646436587628,237865
Periurbaine,20.603242090905557,72634
Rurale regionale,19.582851316649325,18637
Rurale nationale,17.010153224562895,9555
Rurale pres des villes,14.137275439583679,16461
